CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2677563;150215;12;18;13;1;0;6;0;0
5874645;150215;0;0;0;0;0;0;0;0
2334356;150220;0;0;0;0;0;0;0;0
6500552;150220;11;39;11;0;0;29;0;6
7360347;150220;16;8;20;1;0;12;0;0
9685871;150220;30;0;0;2;0;0;0;0
2330962;150230;5;34;15;0;0;14;0;0
2616491;150230;10;20;10;1;0;10;0;0
0007641;150240;66;29;20;0;0;4;0;10
0007684;150240;6;30;29;0;0;30;12;7
0007714;150240;0;0;0;0;0;0;0;0
2674769;150240;0;46;4;2;0;20;0;0
2316080;150250;0;3;4;0;0;2;0;0
2314312;150260;0;4;2;0;0;2;0;0
2328968;150270;7;13;7;2;0;6;0;0
2328976;150270;0;0;0;0;0;0;0;0
2328992;150270;27;16;22;2;0;7;5;0
2622319;150275;3;12;4;0;0;6;0;0
2318059;150276;2;5;2;0;0;2;0;0
2312158;150277;0;18;19;0;0;13;0;0
2615843;150280;5;6;5;1;0;10;0;0
2311992;150290;5;10;6;1;0;6;0;0
2677571;150293;7;17;5;2;0;6;0;0
2677598;150293;10;16;6;0;0;8;0;0
3003469;150295;8;16;11;0;0;6;0;0
2331500;150300;1;4;2;0;0;3;0;0
2418673;150304;2;10;4;0;1;3;0;0
9601503;150307;4;4;4;0;0;3;0;0
2312174;150309;2;8;7;0;0;7;0;0
2313057;150310;1;12;4;1;0;6;0;0
2804638;150320;10;14;9;2;0;12;0;0
2317397;150330;13;21;11;0;0;12;0;0
2757214;150330;13;37;8;0;0;14;0;0
2317931;150340;0;8;7;1;0;4;0;0
2616483;150345;16;20;7;0;0;10;0;0
9633758;150345;17;4;0;1;0;0;0;0
2330970;150350;0;16;6;0;0;8;0;0
2330997;150360;0;0;0;0;0;0;0;0
2331004;150360;0;0;0;0;0;0;0;0
2331012;150360;6;9;17;0;1;6;0;0
2331020;150360;0;0;0;0;0;0;0;0
2331098;150360;7;17;9;2;2;10;10;0
2331101;150360;0;0;0;0;0;0;0;0
6044395;150360;0;0;0;0;0;0;0;0
2615711;150370;13;17;12;0;0;11;0;0
2331691;150375;4;8;5;0;0;7;0;0
2312050;150380;7;14;6;0;0;10;0;0
2312069;150380;0;36;0;0;0;0;0;0
2312115;150380;0;0;0;0;0;0;0;0
2316757;150390;6;12;8;0;2;6;0;0
7712103;150390;12;5;0;0;0;0;0;0
2772329;150400;3;8;3;1;0;6;0;0
2677407;150405;2;26;10;0;0;14;1;0
2615770;150420;0;0;0;0;0;0;0;0
2615797;150420;41;36;0;0;0;14;0;0
2615800;150420;0;0;0;0;0;0;0;0
2615819;150420;0;0;0;0;0;0;0;0
5599504;150420;42;15;4;6;0;10;0;38
5703425;150420;4;0;35;2;0;4;6;0
9620982;150420;0;0;0;0;0;0;0;0
2793903;150430;6;9;8;3;0;4;0;0
2621584;150440;0;10;4;1;0;4;0;0
2316471;150442;0;46;0;1;0;10;0;0
2619717;150442;28;10;16;4;0;10;8;7
2622475;150445;7;16;10;0;0;8;0;0
6559476;150450;4;4;4;1;0;3;0;0
2677431;150460;4;8;7;1;0;8;0;0
2697289;150470;7;20;12;2;0;11;0;0
2652706;150480;8;22;0;0;0;10;0;0
2652722;150480;0;0;0;0;0;0;0;0
6569234;150480;0;4;10;1;0;4;0;0
2316005;150490;4;8;8;0;0;6;0;0
5968496;150495;5;14;8;0;0;5;0;0
9154388;150497;0;7;2;0;0;4;0;0
2331578;150503;8;13;6;1;0;7;0;0
5886201;150503;0;0;0;0;0;0;0;0
2312123;150506;10;16;16;2;0;12;0;0
2332299;150510;12;23;12;1;0;16;0;0
6578373;150520;4;4;4;1;0;3;0;0
2331969;150530;16;15;1;0;0;10;0;0
2619938;150530;0;2;22;0;0;8;0;0
6312314;150530;0;0;0;0;0;0;0;0
2313669;150540;4;7;8;0;0;5;0;0
2318865;150543;8;17;12;0;0;11;0;0
2322935;150543;4;6;5;1;0;2;0;0
2616211;150548;3;15;7;1;0;7;0;0
9042539;150548;0;0;0;0;0;0;0;0
2312182;150549;3;8;3;1;0;6;0;0
2318628;150550;14;12;28;3;0;15;0;0
2318644;150550;0;0;0;0;0;0;0;0
2318652;150550;0;0;0;0;0;0;0;0
5260663;150550;0;0;0;0;0;0;0;0
7563701;150550;31;17;0;2;0;0;0;20
2614634;150553;0;0;0;0;0;0;0;0
2615746;150553;27;30;25;9;0;18;10;0
2615754;150553;0;0;0;0;0;0;0;0
2615762;150553;0;0;0;0;0;0;0;0
2673886;150553;0;0;0;0;0;0;0;0
